event_id,category_id,updated_at,created_at
315758529222105,7
2212779325663446,11
596522180763967,9
578963875875197,11
384550295437030,10
2289968994428187,9
361953651032616,3
361953651032616,6
2229191514006248,1
2229191514006248,11
229571994587150,3
229571994587150,9
590733784721912,7
590733784721912,11
383984555528610,3
441445886392162,3
2319484908069823,11
647518052334048,5
945631318973584,3
945631318973584,2
2069386103147696,8
2069386103147696,6
2093244234100158,3
788556314835968,3
2276302469098962,3
2276302469098962,2
2261896494025243,5
767602376939072,8
326838484845803,3
568463293670075,3
2365132983722650,10
1343475239125573,1
1343475239125573,3
